what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1350688169876
java.version,sysinfo,,,"1.7.0_06",1350688169876
java.vm.info,sysinfo,,,"mixed mode",1350688169876
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350688169876
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350688169876
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350688169876
java.vm.specification.version,sysinfo,,,"1.7",1350688169876
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350688169876
java.vm.version,sysinfo,,,"23.2-b09",1350688169876
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1350688169894
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1350688170158
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1350688170952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350688171403
